Y,X,class
9.0,-31.5,2.0
4.5,-31.5,2.0
0.0,-31.5,2.0
-4.5,-31.5,2.0
-9.0,-31.5,2.0
18.0,-27.0,2.0
13.5,-27.0,2.0
9.0,-27.0,2.0
4.5,-27.0,2.0
0.0,-27.0,2.0
-4.5,-27.0,2.0
-9.0,-27.0,2.0
-13.5,-27.0,2.0
-18.0,-27.0,2.0
22.5,-22.5,2.0
18.0,-22.5,2.0
13.5,-22.5,2.0
9.0,-22.5,2.0
4.5,-22.5,2.0
0.0,-22.5,2.0
-4.5,-22.5,2.0
-9.0,-22.5,2.0
-13.5,-22.5,2.0
-18.0,-22.5,1.0
-22.5,-22.5,1.0
27.0,-18.0,2.0
22.5,-18.0,2.0
18.0,-18.0,2.0
13.5,-18.0,2.0
9.0,-18.0,2.0
4.5,-18.0,2.0
0.0,-18.0,2.0
-4.5,-18.0,2.0
-9.0,-18.0,2.0
-13.5,-18.0,1.0
-18.0,-18.0,1.0
-22.5,-18.0,1.0
-27.0,-18.0,1.0
27.0,-13.5,2.0
22.5,-13.5,2.0
18.0,-13.5,2.0
13.5,-13.5,2.0
9.0,-13.5,2.0
4.5,-13.5,2.0
0.0,-13.5,2.0
-4.5,-13.5,2.0
-9.0,-13.5,1.0
-13.5,-13.5,1.0
-18.0,-13.5,1.0
-22.5,-13.5,1.0
-27.0,-13.5,1.0
31.5,-9.0,2.0
27.0,-9.0,2.0
22.5,-9.0,2.0
18.0,-9.0,2.0
13.5,-9.0,2.0
9.0,-9.0,2.0
4.5,-9.0,2.0
0.0,-9.0,2.0
-4.5,-9.0,1.0
-9.0,-9.0,1.0
-13.5,-9.0,1.0
-18.0,-9.0,1.0
-22.5,-9.0,1.0
-27.0,-9.0,1.0
-31.5,-9.0,1.0
31.5,-4.5,5.0
27.0,-4.5,3.0
22.5,-4.5,3.0
18.0,-4.5,2.0
13.5,-4.5,2.0
9.0,-4.5,2.0
4.5,-4.5,2.0
0.0,-4.5,1.0
-4.5,-4.5,1.0
-9.0,-4.5,1.0
-13.5,-4.5,1.0
-18.0,-4.5,1.0
-22.5,-4.5,1.0
-27.0,-4.5,1.0
-31.5,-4.5,1.0
31.5,0.0,5.0
27.0,0.0,5.0
22.5,0.0,3.0
18.0,0.0,3.0
13.5,0.0,3.0
9.0,0.0,3.0
4.5,0.0,1.0
0.0,0.0,1.0
-4.5,0.0,1.0
-9.0,0.0,1.0
-13.5,0.0,1.0
-18.0,0.0,1.0
-22.5,0.0,1.0
-27.0,0.0,4.0
-31.5,0.0,4.0
31.5,4.5,5.0
27.0,4.5,5.0
22.5,4.5,5.0
18.0,4.5,3.0
13.5,4.5,3.0
9.0,4.5,3.0
4.5,4.5,1.0
0.0,4.5,1.0
-4.5,4.5,1.0
-9.0,4.5,1.0
-13.5,4.5,1.0
-18.0,4.5,1.0
-22.5,4.5,4.0
-27.0,4.5,4.0
-31.5,4.5,4.0
31.5,9.0,5.0
27.0,9.0,5.0
22.5,9.0,5.0
18.0,9.0,5.0
13.5,9.0,3.0
9.0,9.0,3.0
4.5,9.0,0.0
0.0,9.0,1.0
-4.5,9.0,1.0
-9.0,9.0,1.0
-13.5,9.0,4.0
-18.0,9.0,4.0
-22.5,9.0,4.0
-27.0,9.0,4.0
-31.5,9.0,4.0
27.0,13.5,5.0
22.5,13.5,5.0
18.0,13.5,5.0
13.5,13.5,5.0
9.0,13.5,0.0
4.5,13.5,0.0
0.0,13.5,0.0
-4.5,13.5,0.0
-9.0,13.5,4.0
-13.5,13.5,4.0
-18.0,13.5,4.0
-22.5,13.5,4.0
-27.0,13.5,4.0
27.0,18.0,5.0
22.5,18.0,5.0
18.0,18.0,5.0
13.5,18.0,5.0
9.0,18.0,0.0
4.5,18.0,0.0
0.0,18.0,0.0
-4.5,18.0,0.0
-9.0,18.0,4.0
-13.5,18.0,4.0
-18.0,18.0,4.0
-22.5,18.0,4.0
-27.0,18.0,4.0
22.5,22.5,5.0
18.0,22.5,5.0
13.5,22.5,0.0
9.0,22.5,0.0
4.5,22.5,0.0
0.0,22.5,0.0
-4.5,22.5,0.0
-9.0,22.5,4.0
-13.5,22.5,4.0
-18.0,22.5,4.0
-22.5,22.5,4.0
18.0,27.0,5.0
13.5,27.0,0.0
9.0,27.0,0.0
4.5,27.0,0.0
0.0,27.0,0.0
-4.5,27.0,0.0
-9.0,27.0,4.0
-13.5,27.0,4.0
-18.0,27.0,4.0
9.0,31.5,0.0
4.5,31.5,0.0
0.0,31.5,0.0
-4.5,31.5,0.0
-9.0,31.5,4.0
